0,0,0,0,0,0,0,0,0,0,1.7566,0,0,0,0,0,0,0,0,0
0,0,4.8752,1.1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.0376,0,0,0,0,0,0,0,0,0,0,3.176,0,0,1.0838,0,0,0,0
0,0,0,0,0,0,0,2.3551,0,0,0,0,0,0,0,0,0,0,0,0
2.3097,0,2.0564,0,1.0454,0,0,2.1023,0,0,0,0,0,4.2233,0,0,1.8074,0,2.6833,0
0,0,3.1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.6458,0,0,0,0,0,0,0,0,0,0,1.0232,0,0,0,0,0,0
0,4.5135,0,3.4596,0,0,0,0,0,0,0,0,0,0,0,0,2.0271,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.2129,0,1.3694,0,0,0,0,0,0
0,0,0,0,4.2904,0,0,0,0,0,1.1682,0,0,0,0,0,0,0,0,0
2.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.0028,0,0,0,1.1793,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3.5845,0,0,0,0,0,0,0,1.9325,0,0,0,0
0,0,0,0,0,0,1.0017,0,0,0,0,0,0,1.4025,5.2247,0,0,2.5852,0,0
0,0,0,0,0,0,0,2.5564,0,0,0,0,0,1.3337,0,0,0,0,0,0
0,0,0,1.1463,3.8643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.1403,5.9961,0,0,0,0,6.0187,0,0,2.2014,0,0,0,2.729,0,0,2.0917,0,0
0,0,3.3845,0,1.8712,1.0418,0,0,0,0,0,0,0,0,0,0,0,2.2785,0,0
0,0,1.1128,0,3.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.2471,0,0,0,0,0,0,0,0,0,2.6473,0,0,0,0,0,0,0
